text,,,
RT @NikiZoli: I watch in awe and concern. Hurricane Florence &amp, Typhoon Mangkhut this weekend + other regions affected by significant &amp, reco…,Green_Hotelier
RT @TorontoPushback: Climate change is THE excuse to impose #Eugenics on the unsuspecting population. #ThisIsAgenda21 https://t.co/6vzv3fQi…,mumonamission5,,
"RT @TomEHalpin: Ignorance: can describe individuals who deliberately ignore or disregard important information or facts.
27% of farmers say…",jimmerz50,,
RT @lionheartleojai: So far the closest thing I've seen to a climate change policy from you sad sacks is Scott Morrison urging people to pr…,simpsubhswf,,
RT @ClimateReality: Climate change-driven extreme weather can have major (and dangerous) impacts https://t.co/a9CE3EJHA7 #Florence https://…,_AndreaAngulo_,,
"RT @wrieurope: A container ship has become the first to navigate the Arctic route above Russia, thanks to melting sea ice. @WRIClimate @Wor…",Jackthelad1947,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,DonaldMortens10,,
RT @BillyArmagh: Translation: your family will be paying for climate change instead of the biggest polluters. You will also pay millions fo…,chriscaple,,
I like global warming,JWitanowski,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,DigviayKumar,,
"But hey, #ClimateChange change is a #Liberal #conspiracy, right? Riiiiiiight...... 
https://t.co/gfI9DW2MnY",ashabot,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",Leel06Lee,,
"@davejohncole @gallbag123 Only 1000?
You should be able to find more 'experts' than that on the Climate Change Hand… https://t.co/c0yNWzmOdz",NEB_84,,
"RT @RnfrstAlliance: We strive to #KeepForestsStanding and fight #ClimateChange, but we can't do it alone. Take our pledge today and join ou…",alienobserver1,,
RT @ForestRage: 1 person left in #Oaktown. #Co2ps cutting trees and destroying barricades at #Gallien. Climbing team is coming. There are p…,adrian_crandall,,
"RT @ajhanlaurence: It's not really that they don't ""believe in"" science, but that they simply can't understand it. As a result, they can't…",jadegoose,,
"RT @ExpatJake: @JustinTrudeau Actually Justin,  It's called the worlds biggest scam , and you are in on it... 
https://t.co/10AMsowonF  
No…",BrianSimpson142,,
"RT @EwaSynowiec: Trade policy alone cannot overcome all challenges of #sustainabledevelopment incl. decent work, #labourstandards #socialco…",DavidKleimann,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,cindi_feriby,,
Spannende Veranstaltung am 8.10. in der @JungkBibliothek in #Salzburg #Klima #Wandel #ipcc https://t.co/wMmKCiRk34,Frau_KarL,,
"RT @esaclimate: The UK expertise forms a major contribution, across all projects forming the ESA Climate Change Initiative #EarthObsConf201…",NCEOscience,,
RT @JimHarris: TERRIFYING: Hurricane Florence from space. Photos by NASA https://t.co/6XN889eUVJ It threatens to dump 10 TRILLION gallons o…,amarthapa1812,,
RT @lionheartleojai: So far the closest thing I've seen to a climate change policy from you sad sacks is Scott Morrison urging people to pr…,dameladeedah,,
"RT @FoxNews: Paul McCartney reveals new song about climate change is directed at Donald Trump.
https://t.co/gBlOJHFIZL",katieLaurence2,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,nickyt739,,
"RT @PaulEDawson: “As young people, we find ourselves in this really awkward place in history where we are going to be alive for the worst e…",roylescole,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",boomsbusts,,
RT @meldcc: #climateart #artinnature #environmentalart #theartofclimatechange #climate #actonclimate #climateaction #enviromentalartist #La…,BioScapes,,
"RT @Sciguy999: Expect more intense hurricanes ""Florence is yet another poster child for the human-supercharged storms that are becoming mor…",Jackthelad1947,,
"RT @AFB_Australia: Pauline Hanson, the noted astronomer and child psychologist, confirms that climate change, if occurring at all, can prob…",zag_zag,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",TariAkpodiete,,
"We believe in sustainability, which is why we've been planting hundreds of trees in conjunction with @Forest_Centre… https://t.co/XMGPxGcQcm",bluechipcouk,,
RT @simouboussaid: Meeting of the board of ⁦@4CMaroc⁩ To discuss promising perspectives for this Innovative institution in the #climatechan…,SiMo_Methqal,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,lupieleslie,,
"@Biorahul Since his birthday, this is my favourite regarding global warming “Actually the chill is not more. Due to… https://t.co/tTIrVTVScL",nambbali,,
"#StopAdani #EndCoal #ClimateChange #FoodSecurity #Hunger #Drought

Wake up Australia!

#auspol #qldpol #nswpol… https://t.co/9qgEGvDBal",Jackthelad1947,,
"Now THIS is the kind of tweet I'd love to see more from this man, rather than the irritating twitter spat tweets he… https://t.co/xbjb0P3JSf",MsCCollins1,,
RT @market_forces: Storms are already more destructive because of #GlobalWarming. #Insurance companies like @QBE should be protecting us fr…,TariAkpodiete,,
Join us @L_D_F on 18.9.18. @ChangeIsAfoot talks about how we need to stop designing for a world that no longer exis… https://t.co/tjsMVRawCu,futurice,,
RT @1010: One of the many ways we need to tackle climate change: More swamps https://t.co/Sf3SGIZT0t,jonburkeUK,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",Green_Wireless,,
@imbalaska Climate Change has always been a Trojan Horse for Socialism.,dingo144,,
"RT @Lasciencedufoot: Quand Han Solo/Indiana Jones parle, on l'écoute.
""Arrêtez de donner du pouvoir à des gens qui ne croient pas en la sci…",AdQuentum,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,JeffBaird16,,
RT @lecho: La détresse des scientifiques face au réchauffement climatique | Le biologiste Gauthier Chapelle partage son découragement face…,FabirnneDecoux,,
"Read the latest reports, white papers and presentations on #mobility, #SmartCities,  #CitizenEngagement,… https://t.co/RHYVdDIjad",Cities_Today,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,GhostOwlLilDove,,
RT @wxpizza: Looks awesome! Sad to miss. Was at the previous 2 @BalanceConf and they were inspiring! https://t.co/jHy8PBWdtU,BioScapes,,
"RT @SIANIAgri: Global hunger levels rising due to extreme weather, UN warns. Progress made in the past decade has been reversed, with clima…",sthlmresilience,,
RT @ProfTimStephens: Yet another clear indication that the Morrison Govt will do nothing to support the #ParisAgreement objective to keep g…,johnsalmond,,
"RT @jenzhuscott: 2/ to the #ClimateChange deniers who attacked me: keep sleep walking, geniuses.  

To many who don’t know HK: the typhoon…",otjmk_28,,
"RT @SENplatform: School climate strike: 15-year-old becomes #Sweden's 'green' heroine 

Greta Thunberg says she won't return to class until…",amarthapa1812,,
IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETI… https://t.co/xoB1MVlA03,DeepStateExpose,,
"RT @Carole5736: Now THIS is the kind of tweet I'd love to see more from this man, rather than the irritating twitter spat tweets he publish…",MsCCollins1,,
"RT @simonahac: @SkyNewsAust plimer = disingenuous and dangerous fool.
• nobody doubts climate has always changed — what’s different now is…",BradScott_Green,,
"Typhoons, Cyclones,and Hurricanes will usually stay away from the equator but when the effect of climate change is… https://t.co/4kp4r5ysAX",5apiks,,
California to launch its own satellite to monitor climate change? https://t.co/ncPFpTbXgB,BestWebStuff,,
"RT @MeckeringBoy: “Murdoch loathed our stimulus strategy, detested our climate change strategy, but most importantly, railed against our go…",BevJohnst,,
@JGPozos @DeepStateExpose EMP not by the sun. Don’t kid yourself. Don’t fall for the fake global warming BS. Our bi… https://t.co/2cN4CjrxKM,ckkirsch1,,
"RT @Sciguy999: Expect more intense hurricanes ""Florence is yet another poster child for the human-supercharged storms that are becoming mor…",PolyPoliLive,,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",glennjenn,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,ElwellGraham,,
"Climate change: we need to start moving people away from some coastal areas, warns scientist
#climatechange… https://t.co/PBGCCICvas",nextgenpower_,,
"RT @Jonathan_K_Cook: The answer to 'Will we start seeing catastrophic category-6 hurricanes?' is of course we will. And without action, we'…",MerryMichaelW,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,GunvilleJacques,,
"RT @climatecouncil: #Climatechange &amp; #wine: The warmer weather may benefit English vineyards, but winemakers from Bordeaux to California ar…",hannu_harjunmaa,,
"RT @Can2geterdone: Al Gore Gets Called Out by Expert for Fraudulent Claim About Hurricane Florence!!

When you are a Global Warming pimp yo…",RonPaul4Constit,,
"RT @davidkingtheo: Until UN change from killing Africans, no amount of energy will stop climate change. Trust in your chariots can't salvag…",ChumaIke,,
RT @Sciguy999: Shell is joining other major oil companies in pledging to manage methane emissions  https://t.co/Q0NvpQn6o6 via @WSJ #energy…,Jackthelad1947,,
RT @DrDCWahl: Why is humanity worth sustaining? https://t.co/DXxOn08T3t CC #culturechange #regenerativecultures #sustainability #esd #SDGs…,DrDCWahl,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,CarrieLynnLand,,
And if it is............................. https://t.co/IKg6eUMYuL,leftwingedduck,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,SaleemulHuq,,
"RT @lamphieryeg: Forest fires in BC obliterated whatever incremental reduction a carbon tax had on BC's emissions, many times over. Thinkin…",gloodle,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,StephyLSilva,,
RT @Glenties_WiG: @DenisNaughten @GCAS2018 Better if our community could have concentrated on efforts to combat #climatechange - instead we…,pro_rur_ireland,,
"RT @indialegalmedia: Addl Solicitor General has placed an affidavit of Ministry of Environment, Forest &amp; Climate Change in which it is stat…",Anthony93508490,,
#ChevyBoltEV is going from #GCAS in #SanFrancisco to #ClimateWeekNYC. Follow @newamericanrt and checkout they're da… https://t.co/SOHhBUm40h,davidtulauskas,,
A POSTnote on climate change and fisheries (Jan 2019). Around 90% of monitored fish stocks are fully fished or over… https://t.co/UJ7YjjuIN2,POST_UK,,
"RT @barrydeutsch: Cartoon: The Climate Change Hoax

If you like my cartoons, and can spare it, help me keep making them at https://t.co/iTx…",alexcross321,,
"#climatechange God of voice Search!
https://t.co/L51TmvWFUF",Lucifer6915,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,DakotaOlave,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,Niiihaddd,,
RT @pedroml: Dedicado aos patetas que negam o efeito do CO2 no aquecimento global (também os temos em Portugal) e a todos os que defenderam…,BarrentoEduardo,,
"RT @CyntWhite: #animalAgriculture  Just leave them, let them drown.  Let their waste &amp;  chemicals from the farm destroy the air &amp; water #Ac…",NightjarBird,,
"@dancludlow If by equally you mean ""97% of scientists say climate change is real"" and ""the other 3% are bought and VERY loud"", then yes :)",SiDawson,,
Peter where do most of our vegetables come from?  How long and severe was the last drought in the fertile crescent?… https://t.co/vyYC7LXMHN,Glen4Climate,,
This POSTnote will summarise what climate change may mean for future management of wildfires in the UK and our abil… https://t.co/F6ZBOLe3bL,POST_UK,,
RT @rinnovabiliit: #Climatechange: il riscaldamento globale è benzina per il fuoco dei #cicloni https://t.co/Wh0057moEd #Florence #Mangkhut…,Stef_D_B,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,GeoffHarps,,
"RT @ajplus: Harrison Ford on climate change: ""Those least responsible will bear the greatest costs."" https://t.co/GHPTyxqJgj",OscarBenedetti9,,
"RT @Sciguy999: Expect more intense hurricanes ""Florence is yet another poster child for the human-supercharged storms that are becoming mor…",torijelinek,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,shylohg,,
Climate change-driven extreme weather can have major (and dangerous) impacts https://t.co/kAWsg3MY3m #Florence… https://t.co/KyWxrUuGpA,ivesmallari4113,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,AwakePatriot111,,
Connecting the dots’ between faith and climate change https://t.co/2YqkSXhvVO,LancasterDioces,,
"Comment: As business and civic leaders meet in #California, they should look to the heavens for inspiration, writes… https://t.co/CW817A9Sir",ClimateHome,,
"RT @Jackthelad1947: #StopAdani #EndCoal #ClimateChange #FoodSecurity #Hunger #Drought

Wake up Australia!

#auspol #qldpol #nswpol

#TheDru…",Jackthelad1947,,
"RT @Can2geterdone: Al Gore Gets Called Out by Expert for Fraudulent Claim About Hurricane Florence!!

When you are a Global Warming pimp yo…",Shell8195,,
"RT @TomLondon6: THE BURNING QUESTION OF OUR AGE
Don't miss - Tues 25 Sept, NW London. Free
""Why aren’t we talking/worrying/ panicking more…",mokomokai,,
Big thanks to you man  like ryan_d007 just confirmed hustle dope shit all the way from Dubai we international now… https://t.co/b2uM415t9p,Iam_defizy,,
Climate change-driven extreme weather can have major (and dangerous) impacts https://t.co/UkVVaI4lRI #Florence… https://t.co/lPWVqKDfcY,ezra_benitez,,
RT @elephantaddr: Global warming change news, earth was warmer in medieval times than today. What do you have to say about that Al Gore? ht…,LaNett76443760,
RT @market_forces: Storms are already more destructive because of #GlobalWarming. #Insurance companies like @QBE should be protecting us fr…,coolrunning2009,,
RT @pass_blue: #AntonioGuterres's speech on #climatechange was impressive but what he didn't say was that the trends of past decades cannot…,pass_blue,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,masnakel,,
Climate change-driven extreme weather can have major (and dangerous) impacts https://t.co/liOU6EbE8F #Florence… https://t.co/fnR4lyZkgu,lluisdeguzman,,
"RT @lamphieryeg: Forest fires in BC obliterated whatever incremental reduction a carbon tax had on BC's emissions, many times over. Thinkin…",AyanTrumpsIslam,,
"RT @LeeCamp: 135 months. 

We have 135 months until the planet passes the point of no return for runaway global warming. 

After that point…",JohnRHouse1,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,michellerompis2,,
"RT @1985_arora: For God's sake, stop electing leaders who don't believe in #science. Or even worse, pretend they don't believe in science.…",djmer1,,
RT @market_forces: Storms are already more destructive because of #GlobalWarming. #Insurance companies like @QBE should be protecting us fr…,Naomi55505271,,
"RT @PaulEDawson: Climate change has helped melt nearly a fifth of Colombia's mountaintop glacier cover in just seven years, the government…",TariAkpodiete,,
"RT @anneke_andries: Many species are killed for cattle ranchers on YOUR public lands. 
Pls use https://t.co/ugVCyyzqCg &amp; tell your rep:
Pls…",maggiesmumbles,,
RT @iahgroundwater: ... Reminder for free access articles in our HJ #groundwater 😉 https://t.co/CI8WW0BVj8,CJFStrathclyde,,
"@sherryrehman #sindh gov must try to support more 50mw wind power prjs in wind corridor of sindh, to meet the needs… https://t.co/wAvEak7Va9",PakEducation2,,
"RT @The_UnSilent_: Media: Lying

Comey: Lying

Obama: Lying

Clinton: Lying

Stormy: Lying

Strozk: Lying

Mueller: Lying

Judges: Lying

1…",TattyBonce,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,__Krisssyy,,
"While Trump rejects science, Obama and Clinton warn of climate change’s urgent danger https://t.co/DSyd7ewgEQ via @grist",Sharat57,,
RT @GEAG_India: A world on the move: Need to shift our thinking when it comes to #climatechange #migration https://t.co/Ie8Zp2xkeS @tcrpind…,SaleemulHuq,,
RT @FranceinPak: PHC Peridot 2019 call for application is now open until 16th of Nov 2018 for Pakistani &amp, French scholars willing to develo…,CampusFrance,
"RT @climatecouncil: Our planet is not a game: ""#Climatechange is moving faster than we are"", warns UN Secretary General. The time to act is…",ecobard,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,bowrog,,
"For God's sake, stop electing leaders who don't believe in #science. Or even worse, pretend they don't believe in s… https://t.co/ANpyHZMUy0",AroraBxl,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",Pgdelr1,,
@lookforsun @KialoHQ Agree but to avert runaway catastrophic climate change (all kinds of critical tipping points w… https://t.co/QiaQfWiHd0,MichRogCook,,
"RT @SENplatform: School climate strike: 15-year-old becomes #Sweden's 'green' heroine 

Greta Thunberg says she won't return to class until…",amarthapa1812,,
RT @JustinTrudeau: What’s the best way to take real action on climate change? Here’s my response from this week’s town hall in Saskatoon ab…,RamonMM9,,
I will eat black-shouldered kite as my mind turns to climate change.,Iameatingsoon,,
"RT @MikeHudema: More than 43 million people could be affected by Super Typhoon #Mangkhut, predicted to be most powerful storm since records…",verenawrites,,
The #Commonwealth’s Climate Finance Access Hub (#CommonwealthCFAH) assists member countries untangle the red tape a… https://t.co/yZGTq9WYZa,commonwealthsec,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,dustbunny_19,,
"RT @POST_UK: A POSTnote on climate change and wildfire frequency, will look at the widespread increases in wildfire activity, area burned,…",JeremyLelean,,
He’s been in outer space for decades! https://t.co/eGMoDjKWdn,Jimbabwe4,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,whitemoscatomom,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",HarridgePike,,
@StephenLongAus @PatsKarvelas @simonahac @TonyPolony22 @Melissa4Durack @abcnews I wasn't talking about your article… https://t.co/Y0hudVhEyL,veloaficionado,,
"RT @Lasciencedufoot: Quand Han Solo/Indiana Jones parle, on l'écoute.
""Arrêtez de donner du pouvoir à des gens qui ne croient pas en la sci…",ClarimUKSW19,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,solamiga,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,boubiyeah,,
"RT @PaulEDawson: “As young people, we find ourselves in this really awkward place in history where we are going to be alive for the worst e…",Kvistelhallo,,
"Quotes by #forest pedagogue Michael Zobel in an interview by @DLF: ""The #media coverage is unbelievable. It adds fu… https://t.co/MJFeRKLeDj",yongsagisa,,
Barriers to trade and #climatechange leave us vulnerable to food insecurity.  https://t.co/S2cIUbwT1u,john_schoonbee,,
RT @Nwankpa_A: The incredible moral crisis of climate change is that the people who are least responsible will bear the greatest cost.,laideagbaje,,
RT @SarahPalinUSA: CA Gov. Jerry Brown Announces State Will Go To Space To Stop Climate Change https://t.co/6QEU0qVAlX,Closer1775,,
"📽I si no podeu assistir al passi de la pel·licula a la @Biociencies_UAB avui a les 13:00
📖💽🎞 A les @bibliotequesUAB… https://t.co/wRgxfltLse",Bctuab,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,Jack99Capo,,
RT @RealErinCruz: He has gone mad. https://t.co/R0KLtSTbHk,Closer1775,,
@FideiDepositum1 @Pontifex Climate change isn’t political it’s science and reality.   You can’t save souls if you can’t save lives.,ASky1113,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,CarrieLynnLand,,
The new CAP mainstreams smart farming technologies as a means to achieve envirnment and climate change adaptation g… https://t.co/MwWFRfNbh2,smart_akis,,
"RT @bluechipcouk: We believe in sustainability, which is why we've been planting hundreds of trees in conjunction with @Forest_Centre (Fore…",markdavidallen,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,scook2214,,
"RT @mzjacobson: Was last week in #California the beginning of the end for #global warming? 

And what do #Darwin, Hawken, Jacobson and Rock…",PaulAdams72,,
California to launch its own satellite to monitor climate change? https://t.co/TR3xqZ6zzy,ChippyChill,,
Nigerian women are at the frontline working on the clean cooking 2.0 ! We've already cracked the code of sensor ena… https://t.co/9awNlKFfe5,bahijjah,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,fragmansixty9,,
What should citizens do to help improve humanity and deter climate change? #Drawdown https://t.co/kHrMMdB6aj,CLIME_IT,,
"Top story: Leaders from politics to showbiz band together against climate change https://t.co/CdyD7kIkwg, see more https://t.co/IQcUl5eYdm",westbase,,
'Ice-plagued'... https://t.co/BMAAcOmB2I,James_BG,,
"RT @indialegalmedia: Addl Solicitor General has placed an affidavit of Ministry of Environment, Forest &amp; Climate Change in which it is stat…",AnkitDhyani17,,
"RT @Jackthelad1947: #StopAdani #EndCoal #ClimateChange #FoodSecurity #Hunger #Drought

Wake up Australia!

#auspol #qldpol #nswpol

#TheDru…",antiqueman99,,
"Government Inaction Puts World on Track for 'Catastrophic' Climate Change, U.N. Warns
#HurricanceFlorence… https://t.co/Ln4wmnaeI7",Voice4Voicelezz,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,Buttercookie25,,
RT @SarahPalinUSA: CA Gov. Jerry Brown Announces State Will Go To Space To Stop Climate Change https://t.co/6QEU0qVAlX,ToddyLittman,,
I literally can't not read this in Shrek's voice... https://t.co/ITzWZIKdW5,James67891011,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,Nathyzzle,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,joedarkthoughts,,
RT @sherryrehman: Heated discussion in Senate Climate Change Committee on the benchmarks of compliance on 13 international treaties that Pa…,khanlashari3533,,
"RT @afneil: Venta Maersk, a new ice-strengthened Danish containership, is on its way through the still ice-plagued North East passage (nort…",zagglest,,
@FoxNews Oh he’s an expert on climate change.,georgebastian11,,
"Fight over #HambachForest: ""I've got great respect for the people at the forest""

Interview with #forest pedagogue… https://t.co/koeHcOwwsm",yongsagisa,,
"RT @Gary_Hardgrave: Why give the UN our money when $8bn a year could over the next 20 years build dozens of dams in our regions, save our f…",TedtBall,,
This is just incredible. #ClimateChange https://t.co/b5l9O49YRF,Potuama,,
"Great overview by @jloistf @CarbonBrief on how cement companies can curb emissions, and the associated challenges f… https://t.co/Sj7P02Yk1t",johannweicht,,
"RT @CyntWhite: #animalAgriculture  Just leave them, let them drown.  Let their waste &amp;  chemicals from the farm destroy the air &amp; water #Ac…",Anderhardt,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,DolphinDancer97,,
Carrie Lam said the city managed to ride out the storm (“總算安然渡過”). But some Lei Yue Mun residents came back from th… https://t.co/Nkepx03nxw,yuenok,,
"This BC man on #climatechange and the future of his grandchildren: ""They need to stop messing around with partisan… https://t.co/8Ed6f5kRHI",Speak535,,
"I hope that what Harrison Ford says applies not only to climate change, but also to vaccines, pesticides, GMOs, hom… https://t.co/yQ5oqB3LxH",RFanciola,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,LuisB,,
"Good.

RenewEconomy: #Japan’s #Marubeni deals “body blow” to #coal, in pivot to #renewables… https://t.co/Eh7GfX9KVa",kevinmeyerson,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,onemanbandit,,
RT @Pinipiru: ❤️ https://t.co/TQoJxDqOJe,TwoTreesTweets,,
The latest EcoGanicO Times! https://t.co/PmLpQiOGIt Thanks to @cwejournal #climatechange #california,EcoGanicO,,
RT @paulmozur: Hong Kong’s hyper-modern infrastructure struggling to cope with the violence of a mega storm is about as pointed a symbol of…,yojanasharma,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,blahfurhsnarg,,
"RT @WRMSLTD: WRMS would like to invite all of you to attend the exclusive webinar
Click to join - https://t.co/xaedBvLQS2 

#iot #climatech…",Tanu2911,,
"RT @sunfloweraidil: no more malls pls :(

build more recreational parks &amp; plant more trees. they are important for microclimate: they can r…",blqshb,,
Here’s how much worse climate change is making Florence https://t.co/2BFoABJiuH https://t.co/2H7iGjE0Br,CMYates,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,DILLIGAFOWL,,
RT @nytimes: Your lifetime. Your hometown. See the effects of climate change where you live,amit_safir,,
With @Microsoft now building its first #quantumcomputer soon enough we will be able to tackle big problems such as… https://t.co/UoGzE9UsOv,eduserv,,
RT @StefanMolyneux: Let us deal with your child rape coverups: your choices have repercussions on the lives of the children who are being r…,cvdsanduhh,,
"RT @Can2geterdone: Al Gore Gets Called Out by Expert for Fraudulent Claim About Hurricane Florence!!

When you are a Global Warming pimp yo…",CarlDevitt,,
More swamps:more shreks https://t.co/Gn5PuucvXl,nice1bobross,,
RT @manny_ottawa: Harrison Ford — jet sets everywhere also with his number of mansions he uses about the same energy as one billion people…,dghdavies,,
@antonioguterres  Hi  I respect your speeches and tweets on behalf of #climatechange action for the UN and subsidar… https://t.co/iXRSJXwbL6,greentrue2040,,
"Climate-action champions have to gain control of Congress.  #Climate activists, like the rest of the progressive mo… https://t.co/OswAQvlRIm",Voice4Voicelezz,,
RT @DeepStateExpose: IF IT WASNT FOR THE NARRATIVE TO RESURRECT CLIMATE CHANGE THERE WOULDNT BE A NEVER ENDING PUBLICITY STUNT TO MONETIZE…,wdbeetle,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,pauuuwer,,
RT @PaulEDawson: “Rising oceans are a big deal. About 150 million people live within 1 meter (3 feet) of sea level. About 600 million live…,chaboparati,,
#Peatland destruction can result in #climatechange amplification https://t.co/fMKnpg76V8,CIFOR,,
"A Better World -   
Land degradation neutrality and tenure security – the SDG’s prospects.
#reporter #SDGs… https://t.co/NFEoiMYL9w",GlobeDrought,,
"Philanthropic Community Announces $4 Billion Commitment to combat Climate Change
https://t.co/1mKUarBrUP",franzalt,,
RT @MisterRudeman: Show more videos of the weather disrespecting the flag so the conservatives will want to fight climate change too https:…,carsonjones16,,
RT @Pontifex: Let us deal with climate change through international cooperation: each person’s choices have repercussions on the life of ev…,Skythe1108,,
"RT @PaulEDawson: “As young people, we find ourselves in this really awkward place in history where we are going to be alive for the worst e…",srzjwalters,,
"RT @climatecouncil: #Climatechange &amp; #wine: The warmer weather may benefit English vineyards, but winemakers from Bordeaux to California ar…",hilaryzm,,
RT @nowthisnews: 'Stop giving power to people who don't believe in science.' — Actor Harrison Ford is warning us to address climate change…,WardDEC,,
"RT @BYDCompany: #IKEA CEO announced 25% of home deliveries will be completed using #ZeroEmission vehicles by 2020! 

Read More—https://t.co…",jorpra86,,
@CNN And this is why we have issues about climate change...make up your fucking mind scientist!!!!,BuzzRolled,,
